idx	time	x	y	z	xVel	yVel	zVel	pitch	heading	roll
0.0	0.0	0.0	0.0	0.0	-16.080273097969474	101.60672366657	-3.9044999999999996	-6.0712	0.0	-4.5104
1.0	0.1	-1.7921187372736043	10.078315108758606	0.5515000000000326	-16.1385861847533	101.69187073880236	-4.092399999999999	-5.732	359.8914	-4.3898
2.0	0.2	-3.1732628272900545	20.32729022838197	0.9864999999999781	-16.196882056316554	101.77854086836659	-4.241799999999999	-4.7983	359.7581	-4.4412
3.0	0.3	-4.9653815645698085	30.4056053371459	1.309500000000298	-16.248200510583366	101.86561799654423	-4.402399999999999	-3.706	359.6104	-4.6415
4.0	0.4	-6.759417830057105	40.48853813857469	1.535000000000309	-16.285724577628798	101.95441700775703	-4.604499999999999	-2.7058	359.44780000000003	-4.8574
5.0	0.5	-8.353407551592335	51.2500771441046	1.6775000000002362	-16.312937881048075	102.04576516656175	-4.826399999999999	-1.7202	359.27380000000005	-5.0413
6.0	0.6	-9.729933948941959	61.500969791940264	1.7375000000001817	-16.332804351757634	102.13767372623683	-5.0504999999999995	-0.7983	359.1042	-5.2013
7.0	0.7	-11.112995567169309	71.7545626042271	1.7274999999999634	-16.349884554142818	102.2309558611099	-5.297299999999999	-0.2739	358.9585	-5.27
8.0	0.8	-13.124495156845	82.34814176335685	1.654500000000098	-16.36539005353441	102.32878995275804	-5.501499999999999	-0.2451	358.85040000000004	-5.1653
9.0	0.9	-14.918531422335658	92.43107456478424	1.5305000000003017	-16.380348474920655	102.42739261818667	-5.605899999999999	-0.3734	358.7816	-5.0123
10.0	1.0	-16.296975347896183	102.68658490528338	1.354000000000269	-16.398648082882808	102.53013007167095	-5.669499999999999	-0.5121	358.74530000000004	-4.9193
11.0	1.1	-18.303857244908407	113.28208159262402	1.117000000000189	-16.420343675841576	102.64261007543236	-5.714799999999999	-0.6633	358.7374	-4.8509
12.0	1.2	-20.09789351039906	123.36501439405143	0.8460000000000035	-16.44270844361297	102.75513703736829	-5.739699999999999	-0.8113	358.756	-4.7979
13.0	1.3	-21.480955128623055	133.61860720633965	0.5430000000001199	-16.46574318132861	102.87344942411782	-5.749599999999999	-0.9589	358.7964	-4.7552
14.0	1.4	-23.076862378371974	144.38476390453974	0.2094999999999345	-16.48912074426256	103.00093146030831	-5.749199999999999	-1.1078	358.8524	-4.7181
15.0	1.5	-24.4572238321434	154.64489193770234	-0.1529999999997926	-16.511559911070126	103.13475852705109	-5.739899999999999	-1.2534	358.9164	-4.6848
16.0	1.6	-26.253177625844955	164.73244243179317	-0.5409999999997125	-16.533276694907627	103.27440780667601	-5.723199999999999	-1.396	358.9809	-4.6532
17.0	1.7	-28.047213891332255	174.815375233222	-0.9494999999997161	-16.55429535611018	103.41889471224621	-5.699999999999999	-1.5347	359.03880000000004	-4.622
18.0	1.8	-29.425657816892773	185.07088557372109	-1.3820000000000616	-16.575512047884384	103.57142032317813	-5.670599999999999	-1.6719	359.08450000000005	-4.5902
19.0	1.9	-31.219694082383434	195.1538183751485	-1.8219999999996614	-16.596969808281667	103.72817699614211	-5.636699999999999	-1.804	359.112	-4.5584
20.0	2.0	-32.81751886034604	205.92459276601878	-2.284499999999752	-16.620260583283716	103.89586664937033	-5.596699999999999	-1.9377	359.11760000000004	-4.5251
21.0	2.1	-33.999751298375735	216.86794469595407	-2.7744999999999886	-16.646638976272744	104.07386002111018	-5.5504999999999995	-2.075	359.0987	-4.49
22.0	2.2	-36.00663319538461	227.46344138329613	-3.2709999999997303	-16.676029053484392	104.25493393795492	-5.500299999999999	-2.2094	359.05370000000005	-4.4545
23.0	2.3	-38.01351509239683	238.05893807063677	-3.755499999999756	-16.707597272611416	104.43499508740463	-5.448899999999999	-2.3138	358.9857	-4.4194
24.0	2.4	-39.39195901795736	248.3144484111359	-4.25149999999985	-16.743435699466346	104.62064598872364	-5.393199999999999	-2.3567	358.8924	-4.3828
25.0	2.5	-41.18599528344802	258.3973812125633	-4.764999999999872	-16.78435830350848	104.8130645441657	-5.3309999999999995	-2.3674	358.7773	-4.3451
26.0	2.6	-42.98194907714957	268.48493170665415	-5.267499999999926	-16.828715215343937	105.00254107139908	-5.265599999999999	-2.3797	358.6504	-4.3075
27.0	2.7	-44.57515616244536	279.25762362573676	-5.755499999999755	-16.876560438261798	105.18894486600622	-5.198299999999999	-2.3864	358.51700000000005	-4.2667
28.0	2.8	-45.95360008800588	289.5131339662359	-6.237000000000079	-16.927717872165715	105.37159110044965	-5.127299999999999	-2.3822	358.3829	-4.2171
29.0	2.9	-47.33857923444077	299.77134447118755	-6.741500000000086	-16.98553654387779	105.56089149981915	-5.044699999999999	-2.3694	358.2461	-4.1582
30.0	3.0	-49.14924964392216	311.0546827479644	-7.260999999999966	-17.050239511668877	105.75686171683955	-4.949399999999999	-2.3626	358.1128	-4.0974
31.0	3.1	-51.151513848267555	321.6520969635173	-7.759499999999661	-17.1166611819686	105.94367245452503	-4.850699999999999	-2.4113	357.99980000000005	-4.0421
32.0	3.2	-52.72808678956983	331.22438340724375	-8.237999999999827	-17.183625215018942	106.12083768327388	-4.753199999999999	-2.5128	357.90970000000004	-3.9943
33.0	3.3	-54.309277423538916	340.79475232275786	-8.714500000000042	-17.25346787024698	106.29659098626048	-4.655799999999999	-2.6111	357.837	-3.9473
34.0	3.4	-56.10331368902958	350.8776851241853	-9.183500000000093	-17.325905040978196	106.47050894478247	-4.556799999999999	-2.6899	357.7817	-3.8962
35.0	3.5	-57.70113846698882	361.6484595150569	-9.661499999999704	-17.40259832920822	106.64893971438364	-4.450699999999999	-2.7581	357.74260000000004	-3.8386
36.0	3.6	-59.51180887647021	372.9317977918338	-10.15650000000005	-17.483406860413453	106.83389081950187	-4.335999999999999	-2.808	357.71860000000004	-3.7741
37.0	3.7	-61.31594406507389	384.21243590415946	-10.652000000000042	-17.56499961812403	107.01916594435457	-4.215199999999999	-2.8347	357.709	-3.7048
38.0	3.8	-63.12661447455527	395.4957741809362	-11.136999999999714	-17.645488817081983	107.20100127879512	-4.0889999999999995	-2.8717	357.71090000000004	-3.6325
39.0	3.9	-64.51159362099015	405.75398468588793	-11.592999999999845	-17.720699728404195	107.37116872226797	-3.9645999999999995	-2.9365	357.72	-3.5611
40.0	4.0	-66.30562988648082	415.8369174873153	-12.04099999999971	-17.794760122799257	107.53856555014127	-3.8365999999999993	-3.0141	357.7315	-3.4873
41.0	4.1	-68.52535741501462	426.94497806056927	-12.494999999999889	-17.8715606224758	107.71099644426826	-3.6985999999999994	-3.0928	357.7414	-3.4081
42.0	4.2	-70.11664697209672	437.7130522869817	-12.922999999999773	-17.945240636219957	107.8748697354864	-3.5617999999999994	-3.162	357.7452	-3.3296
43.0	4.3	-71.49509089765724	447.96856262748076	-13.329999999999925	-18.016114013660157	108.03146272501726	-3.4259999999999997	-3.1938	357.73940000000005	-3.2516
44.0	4.4	-72.88007004409492	458.2267731324392	-13.731499999999867	-18.087234709706372	108.18708678033619	-3.2849999999999997	-3.1868	357.7221	-3.1714
45.0	4.5	-74.67602383779648	468.31432362653004	-14.123000000000046	-18.15724323938968	108.34003257390887	-3.1420999999999997	-3.1409	357.6924	-3.09
46.0	4.6	-76.89575136633027	479.422384199784	-14.515499999999973	-18.22873178835343	108.49680322603183	-2.9898999999999996	-3.0104	357.6463	-3.0036
47.0	4.7	-78.70450424760075	490.70110478389734	-14.910499999999955	-18.301032744280743	108.65605177946952	-2.8274999999999997	-2.8214	357.5848	-2.9131
48.0	4.8	-80.49854051308806	500.78403758532613	-15.28150000000005	-18.368283953461994	108.80548656412041	-2.6680999999999995	-2.636	357.516	-2.825
49.0	4.9	-82.71826804162185	511.89209815858004	-15.639999999999871	-18.43473528341307	108.9548203873077	-2.5017999999999994	-2.4489	357.4388	-2.7335
50.0	5.0	-84.73986655441392	523.6833826286066	-16.000999999999745	-18.50282708001611	109.1088869548536	-2.3232999999999997	-2.2549	357.35450000000003	-2.6358
51.0	5.1	-86.55053696389193	534.9667209053848	-16.348500000000055	-18.568938737507864	109.25922806281709	-2.1417999999999995	-2.0644	357.27110000000005	-2.5367
52.0	5.2	-87.9456150334432	546.4226367212335	-16.677499999999778	-18.632901200906566	109.4056973540558	-1.9577999999999998	-1.8779	357.1927	-2.4363
53.0	5.3	-89.34339326745041	557.8720173162062	-16.994999999999887	-18.695542529900592	109.55054967161358	-1.7680999999999998	-1.6933	357.1218	-2.333
54.0	5.4	-91.56773848864765	568.9781603612494	-17.299500000000076	-18.75641817044394	109.69245371097976	-1.5726999999999998	-1.5432	357.063	-2.2292
55.0	5.5	-93.78746601718146	580.0862209345032	-17.583499999999727	-18.814822159655478	109.82997016106549	-1.3764999999999998	-1.444	357.0194	-2.1295
56.0	5.6	-95.38337326693036	590.8523776327033	-17.839999999999687	-18.86864365400637	109.95931955899928	-1.1882999999999997	-1.365	356.99080000000004	-2.0343
57.0	5.7	-97.39025516394258	601.447874320044	-18.08249999999998	-18.92065250173206	110.0863898535541	-0.9977999999999999	-1.2865	356.9751	-1.9355
58.0	5.8	-99.8228283239946	613.0684987792125	-18.318999999999956	-18.973033122498375	110.21774521343002	-0.7937999999999998	-1.2033	356.9702	-1.8285
59.0	5.9	-101.8490445294535	624.8578657210269	-18.537499999999905	-19.023078278969273	110.34660545677065	-0.5830999999999998	-1.1414	356.9764	-1.7217
60.0	6.0	-103.65779741072063	636.1365863051416	-18.737999999999825	-19.07033637198416	110.47110080867022	-0.3721999999999999	-1.1516	356.9928	-1.6217
61.0	6.1	-105.56985491689163	647.2049911751014	-18.76386707343311	-19.120575061709935	110.68404869959807	-0.25867073433284854	-1.1698122182950565	357.00905858336887	-1.5750891599042638
62.0	6.2	-107.48735249183677	658.3054448982151	-18.790109710081673	-19.17497574945142	111.00453723113677	-0.2624263664855953	-1.176172269562412	357.0226153614994	-1.5908463130594417
63.0	6.3	-109.4106635201054	669.4479709892875	-18.82770391095663	-19.233110282686273	111.4252609107233	-0.375942008749548	-1.1712421958267005	357.033637703324	-1.664907437036455
64.0	6.4	-111.34011857099462	680.6418624138669	-18.88687318829823	-19.294550508892165	111.93891424579475	-0.5916927734160148	-1.1555840391125582	357.04229297777533	-1.793208509406226
65.0	6.5	-113.27600539854929	691.8956815882457	-18.977088565575862	-19.35886827554675	112.53819174378805	-0.9021537727763032	-1.1297598414446197	357.04874855378563	-1.971685507739676
66.0	6.6	-115.21856894156205	703.2172603794597	-19.107068577488032	-19.425635430127713	113.21578791214029	-1.2998001191217217	-1.0943316448475195	357.0531718002874	-2.1962744096077267
67.0	6.7	-117.16801132357332	714.6137001052886	-19.28477926996239	-19.494423820112708	113.96439725828843	-1.7771069247435776	-1.0498614913458932	357.05573008621315	-2.4629111925812994
68.0	6.8	-119.12449185287126	726.0913715342555	-19.517434200155705	-19.564805292979397	114.77671428966957	-2.3265493019331793	-0.996911422964376	357.0565907804954	-2.767531834231317
69.0	6.9	-121.0881270224918	737.6559148856276	-19.811494436453888	-19.636351696205452	115.64543351372065	-2.940602362981834	-0.9360434817276022	357.05592125206647	-3.1060723121286986
70.0	7.0	-123.05899051021866	749.3122398294154	-20.172668558471972	-19.708634877268533	116.56324943787865	-3.6117412201808508	-0.867819709660207	357.0538888698588	-3.4744686038443677
71.0	7.1	-125.0371131785833	761.0645254863734	-20.605912657054127	-19.781226683646317	117.52285656958077	-4.332440985821537	-0.792802148786826	357.050661002805	-3.868656686949248
72.0	7.2	-127.02248307486494	772.9162204279999	-21.115430334273647	-19.85369896281645	118.51694941626383	-5.0951767721952	-0.7115528411320935	357.0464050198373	-4.284572539014256
73.0	7.3	-129.01504543109058	784.8700426765364	-21.704672703432962	-19.925623562256607	119.53822248536491	-5.892423691593147	-0.6246338287206447	357.04128828988826	-4.718152137610316
74.0	7.4	-131.01470266403504	796.9279797049685	-22.37633838906363	-19.996572329444458	120.57937028432107	-6.716656856306689	-0.5326071535771147	357.0354781818905	-5.165331460308351
75.0	7.5	-133.0213143752208	809.0912884370255	-23.132373526926344	-20.06611711185767	121.63308732056933	-7.560351378627132	-0.43603485772613865	357.02914206477624	-5.622046484679282
76.0	7.6	-135.0346973509182	821.3604952471801	-23.973971764010923	-20.1338297569739	122.69206810154668	-8.415982370845782	-0.33547898319235137	357.02244730747805	-6.08423318829403
77.0	7.7	-137.05462556214528	833.7353959606492	-24.901574258536318	-20.199282112270808	123.74900713469009	-9.27602494525395	-0.23150157200038776	357.0155612789283	-6.547827548723514
